"Year","anpptot","npptot","C4_npp","C3_npp","aet_y","wsoi_y","CO2","SimulationType","Management","totcsoi","Location","Lat","Lon","vegtype0","gslenl3","gstdl3","annualprec"
1976,0.136497646570206,0.209389016032219,0,0.209389016032219,476.6552734375,0.484609842300415,331.286,"Only C3 grass allowed","Ungrazed",3.89527130126953,"FF",42.73796,-89.75369,10,190,19.2015514373779,641.933288574219
1977,0.18207485973835,0.326778531074524,0,0.326778531074524,498.911926269531,0.534633815288544,332.599,"Only C3 grass allowed","Ungrazed",3.93836379051208,"FF",42.73796,-89.75369,10,190,16.6475372314453,849.126953125
1978,0.201305329799652,0.422918170690536,0,0.422918170690536,517.547973632812,0.593409478664398,333.951,"Only C3 grass allowed","Ungrazed",3.94669532775879,"FF",42.73796,-89.75369,10,207,15.703462600708,1009.13427734375
1979,0.202787756919861,0.424950242042542,0,0.424950242042542,512.86376953125,0.513925671577454,335.338,"Only C3 grass allowed","Ungrazed",3.97875952720642,"FF",42.73796,-89.75369,10,187,16.7625598907471,849.126953125
1980,0.197308480739594,0.369521141052246,0,0.369521141052246,525.583618164062,0.501058459281921,338.91,"Only C3 grass allowed","Ungrazed",4.05142688751221,"FF",42.73796,-89.75369,10,162,18.2310390472412,874.074462890625
1981,0.208756193518639,0.444138467311859,0,0.444138467311859,535.763732910156,0.524605274200439,340.11,"Only C3 grass allowed","Ungrazed",4.13357543945312,"FF",42.73796,-89.75369,10,191,16.3792495727539,925.453430175781
1982,0.215092793107033,0.488037168979645,0,0.488037168979645,529.432922363281,0.568014085292816,340.86,"Only C3 grass allowed","Ungrazed",4.21506118774414,"FF",42.73796,-89.75369,10,205,16.1026840209961,974.974670410156
1983,0.20030976831913,0.445792406797409,0,0.445792406797409,525.46533203125,0.533922374248505,342.53,"Only C3 grass allowed","Ungrazed",4.31029367446899,"FF",42.73796,-89.75369,10,210,16.1378574371338,835.4169921875
1984,0.195228561758995,0.386758863925934,0,0.386758863925934,518.340270996094,0.591098189353943,344.07,"Only C3 grass allowed","Ungrazed",4.41629600524902,"FF",42.73796,-89.75369,10,171,17.6602230072021,980.436218261719
1985,0.211589455604553,0.459042936563492,0,0.459042936563492,535.328369140625,0.528079748153687,345.54,"Only C3 grass allowed","Ungrazed",4.50415515899658,"FF",42.73796,-89.75369,10,196,16.6507873535156,971.444458007812
1986,0.221547245979309,0.511086702346802,0,0.511086702346802,536.549682617188,0.600679934024811,346.97,"Only C3 grass allowed","Ungrazed",4.5762505531311,"FF",42.73796,-89.75369,10,210,16.1022548675537,917.046203613281
1987,0.215828955173492,0.4438516497612,0,0.4438516497612,528.640258789062,0.580661177635193,348.68,"Only C3 grass allowed","Ungrazed",4.65619707107544,"FF",42.73796,-89.75369,10,180,17.7473049163818,914.558227539062
1988,0.170970395207405,0.286158949136734,0,0.286158949136734,427.258636474609,0.520614564418793,351.16,"Only C3 grass allowed","Ungrazed",4.74964666366577,"FF",42.73796,-89.75369,10,181,18.4545555114746,592.144226074219
1989,0.187934175133705,0.342740654945374,0,0.342740654945374,471.982269287109,0.444495469331741,352.78,"Only C3 grass allowed","Ungrazed",4.82617664337158,"FF",42.73796,-89.75369,10,159,17.5290412902832,628.609619140625
1990,0.210302472114563,0.461161971092224,0,0.461161971092224,518.553894042969,0.579422771930695,354.05,"Only C3 grass allowed","Ungrazed",4.85329961776733,"FF",42.73796,-89.75369,10,201,16.1239223480225,1009.13427734375
1991,0.204835131764412,0.430796384811401,0,0.430796384811401,514.8603515625,0.529444456100464,355.39,"Only C3 grass allowed","Ungrazed",4.87565231323242,"FF",42.73796,-89.75369,10,185,17.633508682251,942.481323242188
1992,0.21578685939312,0.468334585428238,0,0.468334585428238,459.871551513672,0.550990283489227,356.09,"Only C3 grass allowed","Ungrazed",4.93506479263306,"FF",42.73796,-89.75369,10,193,15.1500253677368,839.852783203125
1993,0.212799251079559,0.499364942312241,0,0.499364942312241,486.404663085938,0.640472412109375,356.83,"Only C3 grass allowed","Ungrazed",5.02372789382935,"FF",42.73796,-89.75369,10,198,15.2106962203979,1178.84375
1994,0.220690384507179,0.478903412818909,0,0.478903412818909,513.536987304688,0.50292307138443,358.33,"Only C3 grass allowed","Ungrazed",5.12254762649536,"FF",42.73796,-89.75369,10,184,16.9895401000977,874.038696289062
1995,0.206213384866714,0.454160749912262,0,0.454160749912262,505.364196777344,0.492709785699844,360.17,"Only C3 grass allowed","Ungrazed",5.21464347839355,"FF",42.73796,-89.75369,10,180,17.6147079467773,886.573181152344
1996,0.206922322511673,0.444635987281799,0,0.444635987281799,463.632629394531,0.465301096439362,361.93,"Only C3 grass allowed","Ungrazed",5.29812049865723,"FF",42.73796,-89.75369,10,173,16.607027053833,855.433837890625
1997,0.219735220074654,0.509805083274841,0,0.509805083274841,513.365356445312,0.526207566261292,363.05,"Only C3 grass allowed","Ungrazed",5.38242435455322,"FF",42.73796,-89.75369,10,202,15.424617767334,816.253356933594
1998,0.227854862809181,0.535178303718567,0,0.535178303718567,591.591735839844,0.586134314537048,365.7,"Only C3 grass allowed","Ungrazed",5.4566912651062,"FF",42.73796,-89.75369,10,217,16.4071426391602,1059.51916503906
1999,0.220465436577797,0.509508013725281,0,0.509508013725281,559.0517578125,0.541571378707886,367.8,"Only C3 grass allowed","Ungrazed",5.52641534805298,"FF",42.73796,-89.75369,10,195,16.7811622619629,879.594177246094
2000,0.223426923155785,0.49853926897049,0,0.49853926897049,533.787658691406,0.492718428373337,368.96,"Only C3 grass allowed","Ungrazed",5.60484457015991,"FF",42.73796,-89.75369,10,187,17.0821514129639,976.757507324219
2001,0.218934580683708,0.510915040969849,0,0.510915040969849,561.16455078125,0.611567378044128,370.57,"Only C3 grass allowed","Ungrazed",5.68400907516479,"FF",42.73796,-89.75369,10,200,16.8988018035889,1028.77294921875
2002,0.21251092851162,0.486635625362396,0,0.486635625362396,507.4189453125,0.541709184646606,372.59,"Only C3 grass allowed","Ungrazed",5.76125335693359,"FF",42.73796,-89.75369,10,204,16.6697750091553,811.647705078125
2003,0.190100967884064,0.355841517448425,0,0.355841517448425,493.407989501953,0.477818429470062,375.15,"Only C3 grass allowed","Ungrazed",5.83649873733521,"FF",42.73796,-89.75369,10,162,18.1289119720459,793.504577636719
2004,0.217003136873245,0.49547615647316,0,0.49547615647316,566.229125976562,0.519397556781769,376.95,"Only C3 grass allowed","Ungrazed",5.89591979980469,"FF",42.73796,-89.75369,10,196,16.1045436859131,933.633544921875
2005,0.199209406971931,0.424500077962875,0,0.424500077962875,521.828247070312,0.475667655467987,378.98,"Only C3 grass allowed","Ungrazed",5.92669057846069,"FF",42.73796,-89.75369,10,199,17.5033779144287,697.321472167969
2006,0.221395194530487,0.506474733352661,0,0.506474733352661,557.426696777344,0.608702421188354,381.15,"Only C3 grass allowed","Ungrazed",5.9642858505249,"FF",42.73796,-89.75369,10,201,16.5420532226562,979.020446777344
2007,0.225632384419441,0.519032537937164,0,0.519032537937164,586.710205078125,0.508493781089783,382.9,"Only C3 grass allowed","Ungrazed",6.00030517578125,"FF",42.73796,-89.75369,10,220,16.4526863098145,1055.41845703125
2008,0.225739181041718,0.581860721111298,0,0.581860721111298,572.887939453125,0.587832033634186,385.02,"Only C3 grass allowed","Ungrazed",6.05577993392944,"FF",42.73796,-89.75369,10,247,13.6257066726685,1115.03747558594
2009,0.231875911355019,0.575563967227936,0,0.575563967227936,528.710510253906,0.608417987823486,386.5,"Only C3 grass allowed","Ungrazed",6.13049125671387,"FF",42.73796,-89.75369,10,213,14.6979761123657,1084.51379394531
2010,0.231628507375717,0.539817333221436,0,0.539817333221436,577.830078125,0.558625340461731,388.76,"Only C3 grass allowed","Ungrazed",6.22842025756836,"FF",42.73796,-89.75369,10,211,17.3221797943115,973.889587402344
