"","Year","anpptot","npptot","C4_npp","C3_npp","aet_y","wsoi_y","SimulationType","Management","totcsoi","Location","Lat","Lon","vegtype0"
"1",1650,0.0824713408946991,0.115056321024895,0,0.115056321024895,463.6494140625,0.471520990133286,"Spinup","Ungrazed",0,"FF",42.73796,-89.75369,10
"2",1651,0.0872881412506104,0.120819576084614,0,0.120819576084614,460.401458740234,0.557529151439667,"Spinup","Ungrazed",0.488763183355331,"FF",42.73796,-89.75369,10
"3",1652,0.0907072871923447,0.125532791018486,0,0.125532791018486,517.256225585938,0.499615669250488,"Spinup","Ungrazed",1.1395275592804,"FF",42.73796,-89.75369,10
"4",1653,0.0705283135175705,0.0962451845407486,0,0.0962451845407486,469.228515625,0.559835910797119,"Spinup","Ungrazed",1.45836675167084,"FF",42.73796,-89.75369,10
"5",1654,0.0866768881678581,0.119467206299305,0,0.119467206299305,499.969848632812,0.516524732112885,"Spinup","Ungrazed",1.42832803726196,"FF",42.73796,-89.75369,10
"6",1655,0.0811057984828949,0.110992886126041,0,0.110992886126041,511.081848144531,0.601179242134094,"Spinup","Ungrazed",1.40354990959167,"FF",42.73796,-89.75369,10
"7",1656,0.0723524913191795,0.0985394939780235,0,0.0985394939780235,518.339172363281,0.576168239116669,"Spinup","Ungrazed",1.46527910232544,"FF",42.73796,-89.75369,10
"8",1657,0.0818470120429993,0.112353399395943,0,0.112353399395943,492.738220214844,0.576561450958252,"Spinup","Ungrazed",1.40860021114349,"FF",42.73796,-89.75369,10
"9",1658,0.0711694955825806,0.09737778455019,0,0.09737778455019,467.102478027344,0.534168839454651,"Spinup","Ungrazed",1.46625173091888,"FF",42.73796,-89.75369,10
"10",1659,0.0712340548634529,0.0977305918931961,0,0.0977305918931961,458.931884765625,0.487275093793869,"Spinup","Ungrazed",1.50608003139496,"FF",42.73796,-89.75369,10
"11",1660,0.0929163321852684,0.128589645028114,0,0.128589645028114,538.363647460938,0.523578584194183,"Spinup","Ungrazed",1.44916760921478,"FF",42.73796,-89.75369,10
"12",1661,0.091449536383152,0.126309305429459,0,0.126309305429459,517.228332519531,0.604563117027283,"Spinup","Ungrazed",1.51488959789276,"FF",42.73796,-89.75369,10
"13",1662,0.0818784534931183,0.112607002258301,0,0.112607002258301,476.806518554688,0.496866583824158,"Spinup","Ungrazed",1.65286338329315,"FF",42.73796,-89.75369,10
"14",1663,0.079842709004879,0.110194094479084,0,0.110194094479084,472.962493896484,0.472870796918869,"Spinup","Ungrazed",1.68362069129944,"FF",42.73796,-89.75369,10
"15",1664,0.0900846645236015,0.124706998467445,0,0.124706998467445,521.438903808594,0.48956310749054,"Spinup","Ungrazed",1.63884842395782,"FF",42.73796,-89.75369,10
"16",1665,0.0913797318935394,0.126097455620766,0,0.126097455620766,541.308410644531,0.593567192554474,"Spinup","Ungrazed",1.65352892875671,"FF",42.73796,-89.75369,10
"17",1666,0.092675007879734,0.127980247139931,0,0.127980247139931,511.582855224609,0.499857306480408,"Spinup","Ungrazed",1.65905034542084,"FF",42.73796,-89.75369,10
"18",1667,0.0839858725667,0.115855239331722,0,0.115855239331722,529.083374023438,0.52227258682251,"Spinup","Ungrazed",1.73701322078705,"FF",42.73796,-89.75369,10
"19",1668,0.0778238028287888,0.106643915176392,0,0.106643915176392,491.848022460938,0.525482058525085,"Spinup","Ungrazed",1.76718831062317,"FF",42.73796,-89.75369,10
"20",1669,0.0808253511786461,0.11093033850193,0,0.11093033850193,549.727844238281,0.517554521560669,"Spinup","Ungrazed",1.71427655220032,"FF",42.73796,-89.75369,10
"21",1670,0.0916087180376053,0.126647815108299,0,0.126647815108299,518.407836914062,0.609444737434387,"Spinup","Ungrazed",1.64243543148041,"FF",42.73796,-89.75369,10
"22",1671,0.0820185467600822,0.112840190529823,0,0.112840190529823,473.822387695312,0.496898472309113,"Spinup","Ungrazed",1.72864079475403,"FF",42.73796,-89.75369,10
"23",1672,0.0925922468304634,0.128031179308891,0,0.128031179308891,539.145080566406,0.518977105617523,"Spinup","Ungrazed",1.76939928531647,"FF",42.73796,-89.75369,10
"24",1673,0.0924950987100601,0.127878561615944,0,0.127878561615944,492.360900878906,0.5795539021492,"Spinup","Ungrazed",1.83180284500122,"FF",42.73796,-89.75369,10
"25",1674,0.0911092311143875,0.12568473815918,0,0.12568473815918,543.927612304688,0.558845043182373,"Spinup","Ungrazed",1.86357927322388,"FF",42.73796,-89.75369,10
"26",1675,0.081479586660862,0.111875921487808,0,0.111875921487808,468.756744384766,0.501246690750122,"Spinup","Ungrazed",1.83465361595154,"FF",42.73796,-89.75369,10
"27",1676,0.0722985416650772,0.0985654070973396,0,0.0985654070973396,520.451843261719,0.485822379589081,"Spinup","Ungrazed",1.84873330593109,"FF",42.73796,-89.75369,10
"28",1677,0.0888277515769005,0.123341418802738,0,0.123341418802738,475.777160644531,0.539528965950012,"Spinup","Ungrazed",1.79053163528442,"FF",42.73796,-89.75369,10
"29",1678,0.0810028687119484,0.110754877328873,0,0.110754877328873,511.922424316406,0.618628263473511,"Spinup","Ungrazed",1.73927569389343,"FF",42.73796,-89.75369,10
"30",1679,0.0916885137557983,0.12653511762619,0,0.12653511762619,528.93408203125,0.595561981201172,"Spinup","Ungrazed",1.80261206626892,"FF",42.73796,-89.75369,10
"31",1680,0.0910640880465508,0.12596869468689,0,0.12596869468689,523.39208984375,0.506508827209473,"Spinup","Ungrazed",1.85301113128662,"FF",42.73796,-89.75369,10
"32",1681,0.0951236635446548,0.132119312882423,0,0.132119312882423,478.250213623047,0.60138875246048,"Spinup","Ungrazed",1.9726665019989,"FF",42.73796,-89.75369,10
"33",1682,0.0923725962638855,0.1277194917202,0,0.1277194917202,552.566101074219,0.486289501190186,"Spinup","Ungrazed",1.96295702457428,"FF",42.73796,-89.75369,10
"34",1683,0.0939688161015511,0.129862636327744,0,0.129862636327744,512.990539550781,0.565587401390076,"Spinup","Ungrazed",1.97786498069763,"FF",42.73796,-89.75369,10
"35",1684,0.0820244774222374,0.112566344439983,0,0.112566344439983,432.417083740234,0.468647986650467,"Spinup","Ungrazed",2.11819934844971,"FF",42.73796,-89.75369,10
"36",1685,0.091596782207489,0.126609921455383,0,0.126609921455383,490.052215576172,0.569099307060242,"Spinup","Ungrazed",2.10913753509521,"FF",42.73796,-89.75369,10
"37",1686,0.0920232534408569,0.127192944288254,0,0.127192944288254,557.252380371094,0.480564504861832,"Spinup","Ungrazed",1.93944680690765,"FF",42.73796,-89.75369,10
"38",1687,0.08723084628582,0.12005066126585,0,0.12005066126585,529.992431640625,0.568068027496338,"Spinup","Ungrazed",2.01727247238159,"FF",42.73796,-89.75369,10
